date,value
2019-06-11,232400
2019-06-21,218200
2019-07-26,297900
2019-08-10,240200
2019-09-29,242300
2019-10-29,322400
2019-11-08,313900
2020-07-05,109700
2020-07-25,244200
2020-07-30,190500
2020-08-04,274200
2020-08-29,159900
2020-09-13,309100
2020-09-18,220200
2020-09-23,261700
2021-02-05,205800
2021-06-10,3600
2021-06-20,254000
2021-07-25,244600
2021-07-30,277400
2021-08-09,221200
2021-08-14,272300
2021-08-19,237300
2021-08-29,237200
2021-09-03,225700
2021-10-18,269500
